Expression hash,Expression string,Total execution count,Benchmark usage
70400,&Int,764029,8
990720,*Pointer,35952498,22
73984,++Int,421449,8
401664,++UnsignedInt,108652,7
991488,++Pointer,108342,6
74240,--Int,18024,2
1058048,sizeofArray,108357,6
16843265,var<Int> = Int,18032254,39
50397697,var<Char> = Int,2795,8
100729345,var<UnsignedInt> = Int,5795,14
117506561,var<UnsignedShort> = Int,3003,1
17105409,var<Int> = LongLong,4260780,12
17236481,var<Int> = UnsignedShort,1001,1
252641793,var<Pointer> = Pointer,3367941,18
16843521,Int += Int,47006850,19
16844801,Int <<= Int,25241,3
117508353,UnsignedShort >>= Int,30030,1
16845569,Int |= Int,18018,1
134417409,UnsignedChar ^= Char,108342,6
16846081,Int ? Int,20642,3
69121,Void : Int,44891,8
16846337,Int : Int,40037,17
16847617,Int & Int,83626,8
117510913,UnsignedShort & Int,30030,1
16847873,Int == Int,1542090,21
16848129,Int != Int,1538012,22
16848385,Int < Int,23507397,35
100996609,UnsignedInt < LongLong,108677,7
16848641,Int > Int,1567885,22
16849153,Int >= Int,6117305,19
16849665,Int >> Int,119720,10
16849921,Int + Int,11009356,26
16850177,Int - Int,783802,27
353314305,_Type cast Pointer,2133,9
16852737,arr<Int>[Int],818341,15
73986,Int++,10569619,33
16843267,ret<Int> = Int,341108,41
17105411,ret<Int> = LongLong,602,20
529152,&UnsignedChar,80135,2
987904,&Pointer,18,1
1118976,&Struct,69224,7
72960,-Int,4594782,24
336640,!LongLong,5951,3
533248,!UnsignedChar,15634,2
1385728,sizeof_Type,368,2
134283777,var<UnsignedChar> = Int,8845,3
67371521,var<Long> = Long,7357,3
134545921,var<UnsignedChar> = LongLong,10133,1
134611457,var<UnsignedChar> = UnsignedInt,10649,2
134742529,var<UnsignedChar> = UnsignedChar,100598,2
83954945,LongLong ? Int,67599,16
84217601,LongLong || LongLong,1505847,6
84217857,LongLong && LongLong,1760609,11
134549505,UnsignedChar && LongLong,5862,1
84414465,LongLong && UnsignedChar,5862,1
134746113,UnsignedChar && UnsignedChar,2931,1
134288385,UnsignedChar == Int,1875,1
134616065,UnsignedChar == UnsignedInt,11520,1
134747137,UnsignedChar == UnsignedChar,1825,1
84219137,LongLong != LongLong,3908,1
134616321,UnsignedChar != UnsignedInt,17586,1
67376641,Long < Long,17586,1
134616577,UnsignedChar < UnsignedInt,8392,1
134289153,UnsignedChar > Int,363,1
134289665,UnsignedChar >= Int,2600,1
67377409,Long >= Long,35184,2
100735489,UnsignedInt << Int,3968,2
17177601,Int + UnsignedInt,53113,2
84417537,LongLong + UnsignedChar,3908,1
352396801,_Type cast Int,4387222,11
352658945,_Type cast LongLong,4240,6
352724481,_Type cast UnsignedInt,60752,4
352855553,_Type cast UnsignedChar,10982,2
134293249,arr<UnsignedChar>[Int],1531560,5
