Expression hash,Count,Expression string
70400,4,"&Int"
990720,136,"*Pointer"
73984,25025,"++Int"
401664,136,"++UnsignedInt"
991488,136,"++Pointer"
74240,18018,"--Int"
1058048,140,"sizeofArray"
16843265,16049,"var<Int> = Int"
50397697,1,"var<Char> = Int"
100729345,4,"var<UnsignedInt> = Int"
117506561,3003,"var<UnsignedShort> = Int"
17105409,26026,"var<Int> = LongLong"
17236481,1001,"var<Int> = UnsignedShort"
252641793,4,"var<Pointer> = Pointer"
16843521,1001,"Int += Int"
16844801,18018,"Int <<= Int"
117508353,30030,"UnsignedShort >>= Int"
16845569,18018,"Int |= Int"
134417409,136,"UnsignedChar ^= Char"
16846081,18018,"Int ? Int"
69121,17529,"Void : Int"
16846337,489,"Int : Int"
16847617,1001,"Int & Int"
117510913,30030,"UnsignedShort & Int"
16847873,15015,"Int == Int"
16848129,2003,"Int != Int"
16848385,26026,"Int < Int"
100996609,140,"UnsignedInt < LongLong"
16848641,10010,"Int > Int"
16849153,21021,"Int >= Int"
16849665,1001,"Int >> Int"
16849921,20020,"Int + Int"
16850177,16017,"Int - Int"
353314305,4,"_Type cast Pointer"
16852737,51072,"arr<Int>[Int]"
73986,1017,"Int++"
16843267,1,"ret<Int> = Int"
17105411,1,"ret<Int> = LongLong"
529152,80134,"&UnsignedChar"
987904,18,"&Pointer"
1118976,52896,"&Struct"
72960,2,"-Int"
990720,75639,"*Pointer"
336640,5862,"!LongLong"
533248,15632,"!UnsignedChar"
1385728,48,"sizeof_Type"
16843265,21517,"var<Int> = Int"
134283777,4,"var<UnsignedChar> = Int"
67371521,7238,"var<Long> = Long"
134545921,10133,"var<UnsignedChar> = LongLong"
134611457,10553,"var<UnsignedChar> = UnsignedInt"
134742529,100293,"var<UnsignedChar> = UnsignedChar"
252641793,73,"var<Pointer> = Pointer"
83954945,35172,"LongLong ? Int"
69121,17560,"Void : Int"
16846337,17612,"Int : Int"
84217601,5914,"LongLong || LongLong"
84217857,38445,"LongLong && LongLong"
134549505,5862,"UnsignedChar && LongLong"
84414465,5862,"LongLong && UnsignedChar"
134746113,2931,"UnsignedChar && UnsignedChar"
134288385,1875,"UnsignedChar == Int"
134616065,11520,"UnsignedChar == UnsignedInt"
