Benchmark,Stack frames depth,Stack frame size (bytes),Cumulative stack size (bytes),Global variables,Global variables size (bytes)
app/lift,5,13,17,28,292
app/powerwindow,6,8,12,72,49736
kernel/binarysearch,3,16,16,3,128
kernel/bitcount,10,260,260,5,32
kernel/bitonic,9,8,52,5,144
kernel/bsort,3,16,16,0,0
kernel/complex_updates,3,36,36,4,512
kernel/cosf,5,44,84,1,4
kernel/countnegative,4,24,24,6,1620
kernel/cubic,6,200,228,21,92
kernel/deg2rad,3,4,4,2,8
kernel/fac,8,4,4,3,12
kernel/fft,6,72,72,4,24568
kernel/filterbank,3,4104,7316,0,0
kernel/fir2dim,3,52,60,1,4
kernel/iir,2,36,36,3,116
kernel/insertsort,3,44,48,7,68
kernel/isqrt,4,28,48,4,24
kernel/jfdctint,4,80,80,2,260
kernel/lms,3,176,188,3,1664
kernel/ludcmp,4,820,840,4,20804
kernel/matrix1,3,36,36,3,1200
kernel/minver,4,2060,2084,6,368
kernel/prime,5,4,4,4,16
kernel/rad2deg,3,4,4,2,8
kernel/recursion,12,4,4,2,8
kernel/st,5,24,44,12,8040
sequential/adpcm_dec,5,60,84,89,1216
sequential/adpcm_enc,5,48,80,52,1500
sequential/dijkstra,4,24,48,7,34820
sequential/epic,7,84,164,4,16444
sequential/g723_enc,6,29,88,8,2236
sequential/h264_dec,3,176,176,6,25091
sequential/huff_dec,5,22632,22660,2,5
sequential/mpeg2,7,216,348,11,33828
sequential/ndes,5,5373,5575,7,324
sequential/petrinet,2,8,8,7,132
sequential/statemate,4,12,12,97,199
test/cover,3,4,4,0,0
test/duff,3,13,17,2,200
test/test3,23,16,336,10,32776
