Benchmark,Stack frames depth,Stack frame allocation (bytes),Cumulative stack allocation (bytes),Stack frame lvalues (bytes),Cumulative stack lvalues (bytes)
app/lift,5,72084,73838,13,17
app/powerwindow,6,86084,154780,8,12
kernel/binarysearch,3,1056,1080,16,16
kernel/bitcount,10,8484,11200,260,260
kernel/bitonic,9,1444,3116,8,52
kernel/bsort,3,779860,779872,16,16
kernel/complex_updates,3,4404,4468,36,36
kernel/cosf,5,4032,4788,44,84
kernel/countnegative,4,20164,23364,24,24
kernel/cubic,6,110748,113984,200,228
kernel/deg2rad,3,15912,15912,4,4
kernel/fac,8,320,620,4,4
kernel/fft,6,3740668,3799592,72,72
kernel/filterbank,3,11885636,11965016,4104,7316
kernel/fir2dim,3,15157,17936,52,60
kernel/iir,2,6921,6953,36,36
kernel/insertsort,3,5276,5276,44,48
kernel/isqrt,4,72080,78060,28,48
kernel/jfdctint,4,32648,32696,80,80
kernel/lms,3,57620,57792,176,188
kernel/ludcmp,4,8604,8656,820,840
kernel/matrix1,3,82344,82392,36,36
kernel/minver,4,5672,6440,2060,2084
kernel/prime,5,992,1098,4,4
kernel/rad2deg,3,28852,28852,4,4
kernel/recursion,12,112,660,4,4
kernel/st,5,96128,98688,24,44
sequential/adpcm_dec,5,572540,575096,60,84
sequential/adpcm_enc,5,572540,575972,48,80
sequential/dijkstra,4,9496068,9578300,24,48
sequential/epic,7,1420264,1441716,84,164
sequential/g723_enc,6,35171,39844,29,88
sequential/h264_dec,3,843965,996013,176,176
sequential/huff_dec,5,302205,347244,22632,22660
sequential/mpeg2,7,4325485,4685933,216,348
sequential/ndes,5,31638,44927,5373,5575
sequential/petrinet,2,7084,7084,8,8
sequential/statemate,4,128460,128460,12,12
test/cover,3,3400,3488,4,4
test/duff,3,4937,4937,13,17
test/test3,23,339160,339160,16,336
