Benchmark,TokenNone,TokenComma,TokenAssign,TokenAddAssign,TokenSubtractAssign,TokenMultiplyAssign,TokenDivideAssign,TokenModulusAssign,TokenShiftLeftAssign,TokenShiftRightAssign,TokenArithmeticAndAssign,TokenArithmeticOrAssign,TokenArithmeticExorAssign,TokenQuestionMark,TokenColon,TokenLogicalOr,TokenLogicalAnd,TokenArithmeticOr,TokenArithmeticExor,TokenAmpersand,TokenEqual,TokenNotEqual,TokenLessThan,TokenGreaterThan,TokenLessEqual,TokenGreaterEqual,TokenShiftLeft,TokenShiftRight,TokenPlus,TokenMinus,TokenAsterisk,TokenSlash,TokenModulus,TokenIncrement,TokenDecrement,TokenUnaryNot,TokenUnaryExor,TokenSizeof,TokenCast,TokenLeftSquareBracket,TokenRightSquareBracket,TokenDot,TokenArrow,TokenOpenBracket,TokenCloseBracket,TokenIdentifier,TokenIntegerConstant,TokenUnsignedIntegerConstant,TokenLongIntegerConstant,TokenUnsignedLongIntegerConstant,TokenLongLongIntegerConstant,TokenUnsignedLongLongIntegerConstant,TokenFloatConstant,TokenDoubleConstant,TokenStringConstant,TokenCharacterConstant,TokenSemicolon,TokenEllipsis,TokenLeftBrace,TokenRightBrace,TokenIntType,TokenCharType,TokenFloatType,TokenDoubleType,TokenVoidType,TokenEnumType,TokenLongType,TokenSignedType,TokenShortType,TokenStaticType,TokenAutoType,TokenRegisterType,TokenExternType,TokenStructType,TokenUnionType,TokenUnsignedType,TokenTypedef,TokenContinue,TokenDo,TokenElse,TokenFor,TokenGoto,TokenIf,TokenWhile,TokenBreak,TokenSwitch,TokenCase,TokenDefault,TokenReturn,TokenHashDefine,TokenHashInclude,TokenHashIf,TokenHashIfdef,TokenHashIfndef,TokenHashElse,TokenHashEndif,TokenNew,TokenDelete,TokenOpenMacroBracket,TokenEOF,TokenEndOfLine,TokenEndOfFunction,TokenBackSlash,TokenVolatileType,TokenHashPragma,TokenUnderscorePragma,TokenConstType
app/lift,0,1209,41082,1001,0,0,0,0,18018,30030,0,18018,136,18018,18018,0,0,0,0,31035,15015,2003,26166,10010,0,21021,0,1001,20020,16017,272,0,0,51611,36036,0,0,140,0,51072,51082,0,0,55201,114398,466404,205342,0,0,0,0,0,0,0,0,0,165490,0,35041,35050,4033,0,0,0,26,4,0,0,0,0,0,0,28,0,0,3005,0,0,0,0,4008,0,10010,1,1,0,0,0,2,2,5,0,0,0,0,0,0,0,0,9,0,0,0,7,4010,0,0
app/powerwindow,0,160233,149756,0,0,0,0,0,0,0,0,0,0,35172,54084,5914,53100,0,0,133048,15220,56666,52568,3085,0,37772,3908,0,11724,2,98037,0,0,37425,1208,21494,0,48,0,90036,90112,191756,183390,334989,374263,1092783,157590,126887,59996,0,0,0,0,0,0,0,258465,0,56511,56510,5,0,0,0,74,0,0,0,0,3908,0,22,68,7,0,48,66,0,0,0,22,0,69914,49,10642,9182,0,0,50,175,87,0,0,0,0,0,0,0,0,99,0,124551,0,0,49,0,1
kernel/binarysearch,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,16,4,5,0,0,4,34,7,30,0,30,30,0,0,0,0,0,38,39,38,0,98,162,358,123,0,0,0,0,0,0,0,0,0,127,0,55,22,9,0,0,0,6,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,8,1,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,3,0,0
kernel/bitcount,0,1418,806,600,0,0,0,0,0,430,0,0,0,0,360,0,320,0,0,721,0,182,931,0,8,0,0,120,151,70,376,8,8,1311,0,0,0,320,0,1384,1391,50,0,2483,3336,9882,3184,0,610,80,0,0,0,0,0,0,2575,0,373,167,173,2,0,0,8,0,328,0,0,2,0,0,0,0,11,27,0,0,10,0,21,0,138,0,80,80,0,0,190,2,5,0,0,0,0,0,0,0,0,11,0,9,0,0,52,0,0
kernel/bitonic,0,928,452,1,0,0,63,0,0,0,0,0,0,1,1,0,0,0,0,0,241,0,467,464,0,0,0,0,723,33,0,161,0,304,0,0,0,0,0,1027,1028,0,0,275,1511,8327,561,0,0,0,0,0,0,0,0,0,1871,0,708,643,522,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,0,464,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,292,0,3
kernel/bsort,0,0,20201,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,5644,10386,0,0,0,0,15244,10786,100,0,0,5443,0,0,0,0,0,30388,30389,0,0,199,16133,134139,36731,0,0,0,0,0,0,0,0,0,25756,0,10296,10196,12,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,102,0,10485,0,96,0,0,0,4,1,0,0,0,0,0,0,0,0,0,2,0,10787,0,0,103,0,0
kernel/complex_updates,0,21,165,96,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,68,0,0,0,0,0,32,0,612,0,0,352,32,0,0,0,0,88,92,0,0,1,70,999,218,0,0,0,0,0,1,0,0,0,354,0,53,51,6,0,2,0,6,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,2,0,72,0,1,5,0,0
kernel/cosf,0,368,2027,200,0,0,0,0,0,0,200,0,0,0,212,0,76,0,0,352,49,92,497,48,268,92,0,0,524,957,1218,0,0,0,0,0,0,0,0,536,637,950,0,2614,3290,12022,2438,92,0,0,0,0,324,5,0,0,3751,0,1203,602,7,0,312,0,4,0,0,0,0,8,0,0,0,0,0,0,3,0,0,0,1,0,869,0,0,92,0,0,370,2,4,0,0,0,0,0,0,0,0,7,0,0,0,0,2,0,0
kernel/countnegative,0,0,848,400,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,882,0,0,400,0,0,403,1,400,0,400,1240,0,0,0,0,0,2400,2402,0,0,805,2451,11166,2534,0,0,0,0,0,0,0,0,0,2943,0,807,405,13,0,0,0,10,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,42,0,400,0,0,0,0,0,402,1,0,0,0,0,0,0,0,0,0,2,0,884,0,1,43,0,0
kernel/cubic,0,7639,142572,53886,19227,793,0,0,0,31122,516,0,0,793,1281,2379,927,5162,0,19159,13712,32496,4907,7242,34182,1374,2783,10324,75559,34027,44157,9100,0,0,0,0,793,0,0,10000,10260,45310,0,131214,199098,1005080,144431,6978,0,0,0,0,12712,5,0,0,287859,0,80249,75199,8,0,8774,0,6,0,0,0,0,8,0,0,0,1,0,0,3,0,0,0,206,0,59396,1197,0,177,0,0,4491,5,7,0,0,0,0,0,0,0,0,10,0,172,0,0,1404,0,0
kernel/deg2rad,0,0,4,722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,362,0,0,0,0,0,361,361,0,0,0,0,0,0,0,0,0,0,0,722,1449,3266,365,0,0,0,0,0,1085,0,0,0,732,0,4,2,5,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,3,1,0,0,0,0,0,0,0,0,3,0,722,0,0,2,0,0
kernel/fac,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,7,0,0,0,0,16,15,0,0,27,0,0,0,0,0,0,0,0,0,16,68,174,47,0,0,0,0,0,0,0,0,0,65,0,31,8,10,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,21,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,14,0,0
kernel/fft,0,7162,87383,30716,6143,13312,0,0,0,1023,0,0,0,0,0,0,2047,0,0,1028,0,1,44441,1675,6143,4094,11,30720,26429,46550,195404,0,0,78848,0,0,0,0,0,8194,8200,0,0,49662,103950,655982,131466,0,0,0,0,0,18432,0,0,0,206199,0,38408,34314,2062,0,2054,0,9,0,0,0,0,0,0,15,2,0,0,2048,0,0,0,0,2073,0,4096,1025,0,0,0,0,3074,4,0,0,0,0,0,0,0,0,0,3,0,49170,0,1,3099,0,0
kernel/filterbank,0,6,22921,250368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254464,0,0,273078,3,0,254464,0,0,2304,500737,248320,1073,0,264752,3,0,0,0,0,1009409,1009501,0,0,1017875,1282618,3614527,551887,0,0,0,0,0,0,0,0,0,546373,0,8502,8500,6,0,68,0,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,8326,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,8328,0,0
kernel/fir2dim,0,461,328,144,0,0,0,0,0,0,0,0,308,0,0,0,0,0,0,48,0,1,711,0,0,0,0,0,66,3,1784,0,0,2040,0,0,0,312,0,51,55,0,0,318,946,4001,944,0,0,0,0,0,0,0,0,0,1516,0,42,48,6,0,0,0,7,0,1,0,0,4,0,5,0,0,0,2,0,0,0,0,85,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,86,0,0
