Benchmark,Function call depth,Loop depth,Conditional depth,Expression chain depth
app/lift,5,1,6,8
app/powerwindow,6,1,8,14
kernel/binarysearch,3,1,2,5
kernel/bitcount,10,3,7,40
kernel/bitonic,9,1,5,6
kernel/bsort,3,2,1,6
kernel/complex_updates,3,1,0,10
kernel/cosf,5,1,5,12
kernel/countnegative,4,2,1,7
kernel/cubic,6,4,6,15
kernel/deg2rad,2,1,1,3
kernel/fac,8,1,6,12
kernel/fft,6,2,2,7
kernel/filterbank,3,3,0,10
kernel/fir2dim,3,3,0,7
kernel/iir,2,1,0,6
kernel/insertsort,3,1,1,5
kernel/isqrt,4,2,3,4
kernel/jfdctint,3,1,0,7
kernel/lms,3,2,1,9
kernel/ludcmp,4,3,1,9
kernel/matrix1,3,3,0,7
kernel/minver,4,3,3,7
kernel/prime,5,1,1,5
kernel/rad2deg,2,1,1,3
kernel/recursion,12,0,1,12
kernel/st,5,1,3,9
sequential/adpcm_dec,5,2,2,9
sequential/adpcm_enc,5,2,2,9
sequential/dijkstra,4,2,4,6
sequential/epic,6,5,1,11
sequential/g723_enc,6,3,5,14
sequential/h264_dec,3,4,5,30
sequential/huff_dec,5,2,4,8
sequential/mpeg2,7,6,12,35
sequential/ndes,5,2,2,11
sequential/petrinet,2,1,0,12
sequential/statemate,4,1,1,4
test/cover,3,1,0,3
test/duff,3,1,0,5
test/test3,23,2,0,4
